sz.év.;Kategória;nem;1.nap összidõ;2.nap összidõ;3.nap összidõ;4.nap összidõ;eredmény;Megtett táv (km);befejezte;eredmény(perc);átlagos tempó (perc/km);sebesség kategória
1963.0;F4;F;0 days 05:37:32;0 days 06:20:06;0 days 05:00:06;0 days 06:02:24;0 days 23:00:08;196.0;True;1380.0;7.040816326530612;lassú
1969.0;F3;F;0 days 05:37:32;0 days 06:20:15;0 days 05:00:13;0 days 06:02:20;0 days 23:00:20;196.0;True;1380.0;7.040816326530612;lassú
1991.0;F1;F;0 days 05:20:18;0 days 06:20:35;0 days 05:08:16;0 days 06:12:04;0 days 23:01:13;196.0;True;1381.0;7.045918367346939;lassú
1980.0;F2;F;0 days 05:03:38;0 days 06:28:13;0 days 04:52:04;0 days 06:39:42;0 days 23:03:37;196.0;True;1383.0;7.0561224489795915;lassú
1958.0;F5;F;0 days 05:34:34;0 days 06:17:21;0 days 04:59:26;0 days 06:12:38;0 days 23:03:59;196.0;True;1383.0;7.0561224489795915;lassú
1978.0;F3;F;0 days 05:15:35;0 days 06:25:50;0 days 05:01:28;0 days 06:21:15;0 days 23:04:08;196.0;True;1384.0;7.061224489795919;lassú
1977.0;F3;F;0 days 04:52:16;0 days 06:32:13;0 days 05:14:10;0 days 06:26:06;0 days 23:04:45;196.0;True;1384.0;7.061224489795919;lassú
1972.0;N2;N;0 days 05:28:43;0 days 06:16:46;0 days 05:05:54;0 days 06:13:24;0 days 23:04:47;196.0;True;1384.0;7.061224489795919;lassú
1973.0;F3;F;0 days 05:07:30;0 days 06:27:09;0 days 05:12:22;0 days 06:17:54;0 days 23:04:55;196.0;True;1384.0;7.061224489795919;lassú
1988.0;F1;F;0 days 05:38:33;0 days 06:18:10;0 days 05:07:41;0 days 06:05:30;0 days 23:09:54;196.0;True;1389.0;7.086734693877551;lassú
1964.0;F4;F;0 days 05:33:30;0 days 06:29:41;0 days 04:59:40;0 days 06:07:39;0 days 23:10:30;196.0;True;1390.0;7.091836734693878;lassú
1967.0;F4;F;0 days 05:31:30;0 days 06:27:59;0 days 05:06:30;0 days 06:05:35;0 days 23:11:34;196.0;True;1391.0;7.096938775510204;lassú
1969.0;F3;F;0 days 04:59:22;0 days 06:13:01;0 days 05:21:45;0 days 06:37:35;0 days 23:11:43;196.0;True;1391.0;7.096938775510204;lassú
1967.0;N3;N;0 days 05:52:07;0 days 06:20:24;0 days 05:04:27;0 days 05:59:30;0 days 23:16:28;196.0;True;1396.0;7.122448979591836;lassú
1976.0;F3;F;0 days 05:14:54;0 days 06:36:22;0 days 04:53:25;0 days 06:34:49;0 days 23:19:30;196.0;True;1399.0;7.137755102040816;lassú
1982.0;F2;F;0 days 05:17:28;0 days 06:43:44;0 days 05:11:20;0 days 06:08:14;0 days 23:20:46;196.0;True;1400.0;7.142857142857143;lassú
1990.0;F1;F;0 days 05:40:48;0 days 06:26:11;0 days 05:09:00;0 days 06:05:29;0 days 23:21:28;196.0;True;1401.0;7.1479591836734695;lassú
